Source clock 64.0 MHz
n_smpls   f_tar[Hz]     div         t[us]
16        20            200000.0    3125.0
16        30000.0       133.33      2.083
32        20            100000.0    1562.5
32        30000.0       66.67       1.042
64        20            50000.0     781.25
64        30000.0       33.33       0.521
128       20            25000.0     390.625
128       30000.0       16.67       0.26
256       20            12500.0     195.312
256       30000.0       8.33        0.13
512       20            6250.0      97.656
512       30000.0       4.17        0.065
1024      20            3125.0      48.828
1024      30000.0       2.08        0.033
2048      20            1562.5      24.414
2048      30000.0       1.04        0.016
